time,momentum,Ekin,Epot,Etotal
47.5,3.10862e-15,0.0667362,0.000390485,0.0671267
48,5.63438e-15,0.0664128,0.000242055,0.0666548
48.5,1.94289e-15,0.0664118,0.000223221,0.066635
49,-3.35842e-15,0.066256,0.000268701,0.0665247
49.5,6.66134e-16,0.0661026,0.000135652,0.0662382
50,3.05311e-16,0.066684,0.000192699,0.0668767
50.5,1.08247e-15,0.0667622,0.000230973,0.0669931
51,0,0.0667186,0.000146735,0.0668653
51.5,1.77636e-15,0.0671852,0.000147219,0.0673324
52,1.63758e-15,0.0671543,0.000197483,0.0673518
52.5,2.44249e-15,0.0671257,0.000171927,0.0672976
53,2.9976e-15,0.0667489,0.000199482,0.0669484
53.5,1.13798e-15,0.066758,0.000169444,0.0669274
54,7.49401e-16,0.0667906,0.000112095,0.0669027
54.5,1.44329e-15,0.0666534,0.000139407,0.0667928
55,5.02376e-15,0.0667537,0.000113185,0.0668668
55.5,5.57887e-15,0.0668225,0.00014946,0.066972
56,2.35922e-15,0.06678,0.000119059,0.0668991
56.5,3.747e-15,0.0665602,0.000118393,0.0666786
57,5.19029e-15,0.0664776,6.08014e-05,0.0665384
57.5,4.35763e-15,0.0668543,0.000157514,0.0670118
58,-1.47105e-15,0.0667289,0.000154789,0.0668837
58.5,4.10783e-15,0.0669937,0.000138257,0.0671319
59,2.498e-15,0.0673311,0.000196696,0.0675278
59.5,3.9968e-15,0.0670331,0.00016678,0.0671999
60,2.47025e-15,0.0673976,0.00013426,0.0675319
60.5,7.93809e-15,0.0674673,0.000207052,0.0676744
61,4.38538e-15,0.0673196,0.00018192,0.0675016
61.5,3.91354e-15,0.067259,0.000138862,0.0673979
62,4.996e-15,0.0669298,0.00020687,0.0671367
62.5,2.9976e-15,0.0669029,0.000123298,0.0670262
63,4.63518e-15,0.0671566,0.000222676,0.0673793
63.5,5.44009e-15,0.0670679,0.000189247,0.0672571
64,3.2474e-15,0.067207,0.000106947,0.067314
64.5,2.72005e-15,0.0673375,0.000221768,0.0675592
65,1.94289e-15,0.06731,0.000217226,0.0675273
65.5,4.55191e-15,0.0672433,0.000184766,0.067428
66,4.05231e-15,0.0674348,0.000145524,0.0675803
66.5,6.38378e-15,0.0679471,0.000240238,0.0681873
67,5.88418e-15,0.0678174,0.000243508,0.0680609
67.5,5.16254e-15,0.0678466,0.000177862,0.0680245
68,3.9968e-15,0.067735,0.000196212,0.0679312
68.5,5.77316e-15,0.067954,0.000166174,0.0681202
69,5.82867e-15,0.0678787,0.000244356,0.0681231
69.5,3.02536e-15,0.0672482,0.000185917,0.0674341
70,2.27596e-15,0.0668315,0.000124328,0.0669558
70.5,5.41234e-15,0.0669,9.87719e-05,0.0669987
71,3.88578e-15,0.0672124,0.000187976,0.0674004
71.5,3.16414e-15,0.0674599,0.000155274,0.0676152
72,2.52576e-15,0.0674534,0.000201056,0.0676545
72.5,1.80411e-15,0.0672806,0.000115244,0.0673958
73,9.4369e-16,0.067381,0.000170413,0.0675514
73.5,-9.99201e-16,0.0672066,0.000197786,0.0674043
74,-4.27436e-15,0.0673841,0.000167083,0.0675511
74.5,4.4964e-15,0.067511,0.000141224,0.0676522
75,1.38778e-15,0.067547,0.00010289,0.0676498
75.5,-5.38458e-15,0.0678481,0.000116031,0.0679641
76,3.38618e-15,0.0681033,0.000157757,0.0682611
76.5,-2.55351e-15,0.0678912,0.000178649,0.0680698
77,1.66533e-15,0.0673998,0.000187915,0.0675877
77.5,-1.11022e-15,0.0672217,0.000132503,0.0673542
78,4.44089e-15,0.0671627,0.000203721,0.0673664
78.5,3.60822e-15,0.0669727,0.000206628,0.0671794
79,-1.66533e-16,0.0671785,0.00018846,0.0673669
79.5,-2.88658e-15,0.0674408,0.000192154,0.067633
80,-3.83027e-15,0.0672215,0.000218255,0.0674398
80.5,-4.05231e-15,0.0671924,0.000165084,0.0673575
81,-4.52416e-15,0.0675161,0.000184342,0.0677005
81.5,-5.2458e-15,0.0673294,0.000267792,0.0675972
82,-3.94129e-15,0.0672992,9.96198e-05,0.0673988
82.5,-6.27276e-15,0.0676967,0.000239814,0.0679366
83,-6.68909e-15,0.0675669,0.000232608,0.0677995
83.5,-4.96825e-15,0.0673195,0.000129415,0.0674489
84,-6.99441e-15,0.0676254,0.000144373,0.0677698
84.5,-5.96745e-15,0.067506,0.000247202,0.0677533
85,-7.21645e-15,0.0674156,0.000150126,0.0675657
85.5,-6.46705e-15,0.0670937,0.000167325,0.067261
86,-7.60503e-15,0.0670529,0.000141951,0.0671949
86.5,-7.46625e-15,0.0670759,0.000168476,0.0672444
87,-8.49321e-15,0.0671643,0.00019494,0.0673592
87.5,-9.63118e-15,0.0669596,0.000144434,0.067104
88,-9.1871e-15,0.0668833,0.000124994,0.0670083
88.5,-1.01308e-14,0.0669632,0.000134078,0.0670973
89,-8.10463e-15,0.066999,0.00013214,0.0671312
89.5,-7.38298e-15,0.0669591,0.000129657,0.0670888
90,-8.32667e-15,0.0671985,0.000182767,0.0673812
90.5,-9.15934e-15,0.0671462,0.000151216,0.0672974
91,-9.88098e-15,0.0673297,0.000149944,0.0674796
91.5,-9.82547e-15,0.0675601,0.000132322,0.0676924
92,-9.49241e-15,0.0675778,0.000143404,0.0677212
92.5,-8.82627e-15,0.0675843,0.000168597,0.0677529
